,Movie_name,Language,Release_Date,Ratings,Genre
60,en,Iron Man 2,28-04-2010,6.8,"['Adventure', 'Action', 'Science Fiction']"
61,en,The Hobbit: The Battle of the Five Armies,10-12-2014,7.3,"['Action', 'Adventure', 'Fantasy']"
62,en,Deadpool,09-02-2016,7.6,"['Action', 'Adventure', 'Comedy']"
63,en,The Ice Road,24-06-2021,7.2,"['Action', 'Adventure', 'Drama', 'Thriller']"
64,en,Avengers: Age of Ultron,22-04-2015,7.3,"['Action', 'Adventure', 'Science Fiction']"
65,en,Fast & Furious Presents: Hobbs & Shaw,01-08-2019,6.9,"['Action', 'Adventure', 'Comedy']"
66,en,G.I. Joe: The Rise of Cobra,03-08-2009,5.7,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
67,en,Spider-Man: Into the Spider-Verse,06-12-2018,8.4,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']"
68,en,The Last Airbender,30-06-2010,4.7,"['Action', 'Adventure', 'Fantasy']"
69,en,The Expendables,03-08-2010,6.2,"['Thriller', 'Adventure', 'Action']"
70,en,Pacific Rim,11-07-2013,6.8,"['Action', 'Science Fiction', 'Adventure']"
71,en,Inception,15-07-2010,8.3,"['Action', 'Science Fiction', 'Adventure']"
72,en,Cirque du Freak: The Vampire's Assistant,23-10-2009,5.7,"['Adventure', 'Fantasy', 'Action', 'Thriller']"
73,en,Pirates of the Caribbean: On Stranger Tides,14-05-2011,6.5,"['Adventure', 'Action', 'Fantasy']"
74,en,Ready Player One,28-03-2018,7.6,"['Science Fiction', 'Adventure', 'Action']"
75,en,Toy Story 4,19-06-2019,7.6,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Drama']"
76,en,The Karate Kid,10-06-2010,6.5,"['Action', 'Adventure', 'Drama', 'Family']"
77,en,Trollhunters: Rise of the Titans,21-07-2021,8.0,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure', 'Science Fiction']"
78,en,Shrek,18-05-2001,7.7,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']"
79,en,Teenage Mutant Ninja Turtles,07-08-2014,5.9,"['Science Fiction', 'Action', 'Adventure', 'Comedy']"
80,en,2012,10-10-2009,5.8,"['Action', 'Adventure', 'Science Fiction']"
81,en,Thor,21-04-2011,6.8,"['Adventure', 'Fantasy', 'Action']"
82,en,Thor: Ragnarok,25-10-2017,7.6,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']"
83,en,Journey 2: The Mysterious Island,19-01-2012,6.1,"['Adventure', 'Action', 'Science Fiction']"
84,en,Interstellar,05-11-2014,8.4,"['Adventure', 'Drama', 'Science Fiction']"
85,en,Amina,04-11-2021,6.0,"['War', 'History', 'Drama', 'Adventure']"
86,en,Clash of the Titans,31-03-2010,5.9,"['Adventure', 'Fantasy', 'Action']"
87,en,The Book of Life,01-10-2014,7.5,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
88,en,Prometheus,30-05-2012,6.5,"['Science Fiction', 'Adventure', 'Mystery']"
89,en,Captain America: Civil War,27-04-2016,7.4,"['Adventure', 'Action', 'Science Fiction']"
90,en,Shrek 2,19-05-2004,7.1,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']"
91,en,Universal Soldier: Regeneration,01-10-2009,5.6,"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
92,en,Transformers: The Last Knight,16-06-2017,6.1,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
93,en,Scooby-Doo,14-06-2002,6.0,"['Mystery', 'Adventure', 'Comedy']"
94,en,Ice Age,10-03-2002,7.3,"['Animation', 'Comedy', 'Family', 'Adventure']"
95,en,Doctor Strange,25-10-2016,7.4,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
96,en,John Carter,07-03-2012,6.2,"['Action', 'Adventure', 'Science Fiction']"
97,en,Wrath of the Titans,28-03-2012,5.7,"['Fantasy', 'Adventure']"
98,en,Big Hero 6,24-10-2014,7.8,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
99,en,Deadpool 2,10-05-2018,7.5,"['Action', 'Comedy', 'Adventure']"
100,en,The Hunger Games: Mockingjay - Part 1,19-11-2014,6.8,"['Science Fiction', 'Adventure', 'Thriller']"
101,en,Iron Man,30-04-2008,7.6,"['Action', 'Science Fiction', 'Adventure']"
102,en,Frozen,20-11-2013,7.3,"['Animation', 'Adventure', 'Family']"
103,en,The Hobbit: An Unexpected Journey,26-11-2012,7.3,"['Adventure', 'Fantasy', 'Action']"
104,en,Guardians of the Galaxy Vol. 2,19-04-2017,7.6,"['Adventure', 'Action', 'Science Fiction']"
105,en,Smelliville,01-01-2021,7.6,"['Animation', 'Drama', 'Adventure', 'Family']"
106,en,The Pilgrim's Progress,18-04-2019,7.9,"['Animation', 'Adventure']"
107,en,Iron Man 3,18-04-2013,6.9,"['Action', 'Adventure', 'Science Fiction']"
108,en,Maleficent: Mistress of Evil,16-10-2019,7.4,"['Family', 'Fantasy', 'Adventure']"
109,en,Thunder Force,09-04-2021,5.7,"['Action', 'Adventure', 'Comedy']"
110,en,The Lord of the Rings: The Fellowship of the Ring,18-12-2001,8.4,"['Adventure', 'Fantasy', 'Action']"
111,en,Jumanji: The Next Level,04-12-2019,7.0,"['Adventure', 'Comedy', 'Fantasy']"
112,en,We Bare Bears: The Movie,30-06-2020,7.9,"['Family', 'Animation', 'Adventure', 'Comedy', 'TV Movie']"
113,en,Charlie and the Chocolate Factory,13-07-2005,7.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
114,en,Terminator Genisys,23-06-2015,5.9,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
115,en,Green Lantern,16-06-2011,5.2,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
116,en,Pirates of the Caribbean: The Curse of the Black Pearl,09-07-2003,7.8,"['Adventure', 'Fantasy', 'Action']"
117,en,The Twilight Saga: Breaking Dawn - Part 2,13-11-2012,6.5,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
118,en,Thor: The Dark World,30-10-2013,6.6,"['Action', 'Adventure', 'Fantasy']"
119,en,The Grey,14-09-2011,6.6,"['Drama', 'Thriller', 'Action', 'Adventure']"
